[ 2026-01-24 09:47:09,602 ] 19 root - INFO - Initiate the data ingestion
[ 2026-01-24 09:47:18,228 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-01-24 09:47:18,228 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-01-24 09:47:18,228 ] 76 root - INFO - Exporting train and test file path.
[ 2026-01-24 09:47:18,284 ] 85 root - INFO - Exported train and test file path.
[ 2026-01-24 09:47:18,284 ] 21 root - INFO - Data Initiation Completed
[ 2026-01-24 09:47:18,284 ] 26 root - INFO - Initiate the data Validation
[ 2026-01-24 09:47:18,305 ] 32 root - INFO - Required number of columns:2
[ 2026-01-24 09:47:18,305 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-24 09:47:18,305 ] 32 root - INFO - Required number of columns:2
[ 2026-01-24 09:47:18,305 ] 33 root - INFO - Data frame has columns:31
[ 2026-01-24 09:47:18,438 ] 28 root - INFO - data Validation Completed
[ 2026-01-24 09:47:18,438 ] 32 root - INFO - data Transformation started
[ 2026-01-24 09:47:18,438 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-01-24 09:47:18,438 ] 65 root - INFO - Starting data transformation
[ 2026-01-24 09:47:18,452 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-01-24 09:47:18,452 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-01-24 09:47:18,480 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 09:47:18,483 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 09:47:18,483 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 09:47:18,486 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 09:47:18,487 ] 36 root - INFO - data Transformation completed
[ 2026-01-24 09:47:18,487 ] 38 root - INFO - Model Training sstared
[ 2026-01-24 09:50:23,572 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 09:50:23,572 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 09:50:23,572 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-01-24 09:50:23,650 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-01-24 09:50:23,650 ] 151 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\01_24_2026_09_46_47\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908906882591093, precision_score=0.9884894991922456, recall_score=0.9933035714285714), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9727564102564102, precision_score=0.9581689029202841, recall_score=0.9877949552481693))
[ 2026-01-24 09:50:23,650 ] 43 root - INFO - Model Training artifact created
